/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:3.6 CYCLES:3708 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:3.6 CYCLES:3694 ICOUNT:1035 IHITRATE: 99.7 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:4.4 CYCLES:446 ICOUNT:102 IHITRATE: 97.5 DHITRATE: 86.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:3.2 CYCLES:4472 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 91.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:2.9 CYCLES:4084 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 97.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:2.9 CYCLES:4056 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:2.9 CYCLES:4128 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:2.9 CYCLES:4056 ICOUNT:1417 IHITRATE: 99.5 DHITRATE: 97.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:3.1 CYCLES:4414 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 92.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:3.0 CYCLES:4272 ICOUNT:1417 IHITRATE: 99.6 DHITRATE: 94.5
